source_lang,target_lang,source_text,target_text
en,pa,I buy coffee in the market.,ਮੈਂ ਬਜ਼ਾਰ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਬਜ਼ਾਰ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦਾ ਹਾਂ।,I buy coffee in the market.
hi,pa,मैं बाज़ार से कॉफ़ी खरीदता हूँ।,ਮੈਂ ਬਜ਼ਾਰ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਬਜ਼ਾਰ ਵਿੱਚ ਕੌਫੀ ਖਰੀਦਦਾ ਹਾਂ।,मैं बाज़ार से कॉफ़ी खरीदता हूँ।
en,hi,We visit coffee in the village.,हम गांव में कॉफी देखने जाते हैं।
hi,en,हम गांव में कॉफी देखने जाते हैं।,We visit coffee in the village.
en,pa,We visit coffee in the village.,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹਾਂ।,We visit coffee in the village.
hi,pa,हम गांव में कॉफी देखने जाते हैं।,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਕੌਫੀ ਦਾ ਦੌਰਾ ਕਰਦੇ ਹਾਂ।,हम गांव में कॉफी देखने जाते हैं।
en,hi,He like cricket in the home.,उन्हें घर में क्रिकेट पसंद है.
hi,en,उन्हें घर में क्रिकेट पसंद है.,He like cricket in the home.
en,pa,He like cricket in the home.,ਉਸਨੂੰ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਪਸੰਦ ਹੈ।
pa,en,ਉਸਨੂੰ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਪਸੰਦ ਹੈ।,He like cricket in the home.
hi,pa,उन्हें घर में क्रिकेट पसंद है.,ਉਸਨੂੰ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਪਸੰਦ ਹੈ।
pa,hi,ਉਸਨੂੰ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਪਸੰਦ ਹੈ।,उन्हें घर में क्रिकेट पसंद है.
en,hi,I know books in the park.,मैं पार्क में किताबें जानता हूं।
hi,en,मैं पार्क में किताबें जानता हूं।,I know books in the park.
en,pa,I know books in the park.,ਮੈਂ ਪਾਰਕ ਵਿੱਚ ਕਿਤਾਬਾਂ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਪਾਰਕ ਵਿੱਚ ਕਿਤਾਬਾਂ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।,I know books in the park.
hi,pa,मैं पार्क में किताबें जानता हूं।,ਮੈਂ ਪਾਰਕ ਵਿੱਚ ਕਿਤਾਬਾਂ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਪਾਰਕ ਵਿੱਚ ਕਿਤਾਬਾਂ ਨੂੰ ਜਾਣਦਾ ਹਾਂ।,मैं पार्क में किताबें जानता हूं।
en,hi,He play books in the village.,वह गांव में किताबें चलाता है।
hi,en,वह गांव में किताबें चलाता है।,He play books in the village.
en,pa,He play books in the village.,ਉਹ ਪਿੰਡ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖੇਡਦਾ ਹੈ।
pa,en,ਉਹ ਪਿੰਡ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖੇਡਦਾ ਹੈ।,He play books in the village.
hi,pa,वह गांव में किताबें चलाता है।,ਉਹ ਪਿੰਡ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖੇਡਦਾ ਹੈ।
pa,hi,ਉਹ ਪਿੰਡ ਵਿੱਚ ਕਿਤਾਬਾਂ ਖੇਡਦਾ ਹੈ।,वह गांव में किताबें चलाता है।
en,hi,You like books in the market.,आपको बाज़ार की किताबें पसंद हैं.
hi,en,आपको बाज़ार की किताबें पसंद हैं.,You like books in the market.
en,pa,You like books in the market.,ਤੁਹਾਨੂੰ ਬਜ਼ਾਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਪਸੰਦ ਹਨ।
pa,en,ਤੁਹਾਨੂੰ ਬਜ਼ਾਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਪਸੰਦ ਹਨ।,You like books in the market.
hi,pa,आपको बाज़ार की किताबें पसंद हैं.,ਤੁਹਾਨੂੰ ਬਜ਼ਾਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਪਸੰਦ ਹਨ।
pa,hi,ਤੁਹਾਨੂੰ ਬਜ਼ਾਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਪਸੰਦ ਹਨ।,आपको बाज़ार की किताबें पसंद हैं.
en,hi,They buy apples in the school.,वे स्कूल में सेब खरीदते हैं।
hi,en,वे स्कूल में सेब खरीदते हैं।,They buy apples in the school.
en,pa,They buy apples in the school.,ਉਹ ਸਕੂਲ ਵਿੱਚ ਸੇਬ ਖਰੀਦਦੇ ਹਨ।
pa,en,ਉਹ ਸਕੂਲ ਵਿੱਚ ਸੇਬ ਖਰੀਦਦੇ ਹਨ।,They buy apples in the school.
hi,pa,वे स्कूल में सेब खरीदते हैं।,ਉਹ ਸਕੂਲ ਵਿੱਚ ਸੇਬ ਖਰੀਦਦੇ ਹਨ।
pa,hi,ਉਹ ਸਕੂਲ ਵਿੱਚ ਸੇਬ ਖਰੀਦਦੇ ਹਨ।,वे स्कूल में सेब खरीदते हैं।
en,hi,We prefer music in the school.,हम स्कूल में संगीत पसंद करते हैं।
hi,en,हम स्कूल में संगीत पसंद करते हैं।,We prefer music in the school.
en,pa,We prefer music in the school.,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਸੰਗੀਤ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਸੰਗੀਤ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਾਂ।,We prefer music in the school.
hi,pa,हम स्कूल में संगीत पसंद करते हैं।,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਸੰਗੀਤ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਸੰਗੀਤ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹਾਂ।,हम स्कूल में संगीत पसंद करते हैं।
en,hi,He see food in the park.,उसने पार्क में खाना देखा।
hi,en,उसने पार्क में खाना देखा।,He see food in the park.
en,pa,He see food in the park.,ਉਹ ਪਾਰਕ ਵਿੱਚ ਖਾਣਾ ਦੇਖਦਾ ਹੈ।
pa,en,ਉਹ ਪਾਰਕ ਵਿੱਚ ਖਾਣਾ ਦੇਖਦਾ ਹੈ।,He see food in the park.
hi,pa,उसने पार्क में खाना देखा।,ਉਹ ਪਾਰਕ ਵਿੱਚ ਖਾਣਾ ਦੇਖਦਾ ਹੈ।
pa,hi,ਉਹ ਪਾਰਕ ਵਿੱਚ ਖਾਣਾ ਦੇਖਦਾ ਹੈ।,उसने पार्क में खाना देखा।
en,hi,You prefer apples in the home.,आप घर में सेब पसंद करते हैं.
hi,en,आप घर में सेब पसंद करते हैं.,You prefer apples in the home.
en,pa,You prefer apples in the home.,ਤੁਸੀਂ ਘਰ ਵਿੱਚ ਸੇਬ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹੋ।
pa,en,ਤੁਸੀਂ ਘਰ ਵਿੱਚ ਸੇਬ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹੋ।,You prefer apples in the home.
hi,pa,आप घर में सेब पसंद करते हैं.,ਤੁਸੀਂ ਘਰ ਵਿੱਚ ਸੇਬ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹੋ।
pa,hi,ਤੁਸੀਂ ਘਰ ਵਿੱਚ ਸੇਬ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੇ ਹੋ।,आप घर में सेब पसंद करते हैं.
en,hi,I buy cricket in the home.,मैं घर में क्रिकेट खरीदता हूं।
hi,en,मैं घर में क्रिकेट खरीदता हूं।,I buy cricket in the home.
en,pa,I buy cricket in the home.,ਮੈਂ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖਰੀਦਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖਰੀਦਦਾ ਹਾਂ।,I buy cricket in the home.
hi,pa,मैं घर में क्रिकेट खरीदता हूं।,ਮੈਂ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖਰੀਦਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਘਰ ਵਿੱਚ ਕ੍ਰਿਕਟ ਖਰੀਦਦਾ ਹਾਂ।,मैं घर में क्रिकेट खरीदता हूं।
en,hi,You watch apples in the park.,आप पार्क में सेब देखते हैं।
hi,en,आप पार्क में सेब देखते हैं।,You watch apples in the park.
en,pa,You watch apples in the park.,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਸੇਬ ਦੇਖਦੇ ਹੋ।
pa,en,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਸੇਬ ਦੇਖਦੇ ਹੋ।,You watch apples in the park.
hi,pa,आप पार्क में सेब देखते हैं।,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਸੇਬ ਦੇਖਦੇ ਹੋ।
pa,hi,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਸੇਬ ਦੇਖਦੇ ਹੋ।,आप पार्क में सेब देखते हैं।
en,hi,You buy tea in the park.,आप पार्क में चाय खरीदते हैं।
hi,en,आप पार्क में चाय खरीदते हैं।,You buy tea in the park.
en,pa,You buy tea in the park.,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਖਰੀਦਦੇ ਹੋ।
pa,en,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਖਰੀਦਦੇ ਹੋ।,You buy tea in the park.
hi,pa,आप पार्क में चाय खरीदते हैं।,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਖਰੀਦਦੇ ਹੋ।
pa,hi,ਤੁਸੀਂ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਖਰੀਦਦੇ ਹੋ।,आप पार्क में चाय खरीदते हैं।
en,hi,She like cars in the market.,उसे बाज़ार की कारें पसंद हैं।
hi,en,उसे बाज़ार की कारें पसंद हैं।,She like cars in the market.
en,pa,She like cars in the market.,ਉਸ ਨੂੰ ਬਾਜ਼ਾਰ ਵਿਚ ਕਾਰਾਂ ਪਸੰਦ ਹਨ।
pa,en,ਉਸ ਨੂੰ ਬਾਜ਼ਾਰ ਵਿਚ ਕਾਰਾਂ ਪਸੰਦ ਹਨ।,She like cars in the market.
hi,pa,उसे बाज़ार की कारें पसंद हैं।,ਉਸ ਨੂੰ ਬਾਜ਼ਾਰ ਵਿਚ ਕਾਰਾਂ ਪਸੰਦ ਹਨ।
pa,hi,ਉਸ ਨੂੰ ਬਾਜ਼ਾਰ ਵਿਚ ਕਾਰਾਂ ਪਸੰਦ ਹਨ।,उसे बाज़ार की कारें पसंद हैं।
en,hi,He see apples in the city.,उसने शहर में सेब देखे।
hi,en,उसने शहर में सेब देखे।,He see apples in the city.
en,pa,He see apples in the city.,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਸੇਬ ਦੇਖਦਾ ਹੈ।
pa,en,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਸੇਬ ਦੇਖਦਾ ਹੈ।,He see apples in the city.
hi,pa,उसने शहर में सेब देखे।,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਸੇਬ ਦੇਖਦਾ ਹੈ।
pa,hi,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਸੇਬ ਦੇਖਦਾ ਹੈ।,उसने शहर में सेब देखे।
en,hi,I prefer coffee in the school.,मैं स्कूल में कॉफ़ी पसंद करता हूँ।
hi,en,मैं स्कूल में कॉफ़ी पसंद करता हूँ।,I prefer coffee in the school.
en,pa,I prefer coffee in the school.,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦਾ ਹਾਂ।,I prefer coffee in the school.
hi,pa,मैं स्कूल में कॉफ़ी पसंद करता हूँ।,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਸਕੂਲ ਵਿੱਚ ਕੌਫੀ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦਾ ਹਾਂ।,मैं स्कूल में कॉफ़ी पसंद करता हूँ।
en,hi,I know tea in the home.,मैं घर में चाय जानता हूँ.
hi,en,मैं घर में चाय जानता हूँ.,I know tea in the home.
en,pa,I know tea in the home.,ਮੈਨੂੰ ਘਰ ਵਿੱਚ ਚਾਹ ਪਤਾ ਹੈ।
pa,en,ਮੈਨੂੰ ਘਰ ਵਿੱਚ ਚਾਹ ਪਤਾ ਹੈ।,I know tea in the home.
hi,pa,मैं घर में चाय जानता हूँ.,ਮੈਨੂੰ ਘਰ ਵਿੱਚ ਚਾਹ ਪਤਾ ਹੈ।
pa,hi,ਮੈਨੂੰ ਘਰ ਵਿੱਚ ਚਾਹ ਪਤਾ ਹੈ।,मैं घर में चाय जानता हूँ.
en,hi,He know coffee in the city.,वह शहर में कॉफी जानता है।
hi,en,वह शहर में कॉफी जानता है।,He know coffee in the city.
en,pa,He know coffee in the city.,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਜਾਣਦਾ ਹੈ।
pa,en,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਜਾਣਦਾ ਹੈ।,He know coffee in the city.
hi,pa,वह शहर में कॉफी जानता है।,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਜਾਣਦਾ ਹੈ।
pa,hi,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਕੌਫੀ ਜਾਣਦਾ ਹੈ।,वह शहर में कॉफी जानता है।
en,hi,They watch tea in the park.,वे पार्क में चाय देखते हैं।
hi,en,वे पार्क में चाय देखते हैं।,They watch tea in the park.
en,pa,They watch tea in the park.,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦੇ ਹਨ।
pa,en,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦੇ ਹਨ।,They watch tea in the park.
hi,pa,वे पार्क में चाय देखते हैं।,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦੇ ਹਨ।
pa,hi,ਉਹ ਪਾਰਕ ਵਿੱਚ ਚਾਹ ਦੇਖਦੇ ਹਨ।,वे पार्क में चाय देखते हैं।
en,hi,I buy football in the park.,मैं पार्क में फुटबॉल खरीदता हूं।
hi,en,मैं पार्क में फुटबॉल खरीदता हूं।,I buy football in the park.
en,pa,I buy football in the park.,ਮੈਂ ਪਾਰਕ ਵਿੱਚ ਫੁੱਟਬਾਲ ਖਰੀਦਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਪਾਰਕ ਵਿੱਚ ਫੁੱਟਬਾਲ ਖਰੀਦਦਾ ਹਾਂ।,I buy football in the park.
hi,pa,मैं पार्क में फुटबॉल खरीदता हूं।,ਮੈਂ ਪਾਰਕ ਵਿੱਚ ਫੁੱਟਬਾਲ ਖਰੀਦਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਪਾਰਕ ਵਿੱਚ ਫੁੱਟਬਾਲ ਖਰੀਦਦਾ ਹਾਂ।,मैं पार्क में फुटबॉल खरीदता हूं।
en,hi,We eat apples in the village.,हम गांव में सेब खाते हैं.
hi,en,हम गांव में सेब खाते हैं.,We eat apples in the village.
en,pa,We eat apples in the village.,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਖਾਂਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਖਾਂਦੇ ਹਾਂ।,We eat apples in the village.
hi,pa,हम गांव में सेब खाते हैं.,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਖਾਂਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਪਿੰਡ ਵਿੱਚ ਸੇਬ ਖਾਂਦੇ ਹਾਂ।,हम गांव में सेब खाते हैं.
en,hi,I watch books in the city.,मैं शहर में किताबें देखता हूं।
hi,en,मैं शहर में किताबें देखता हूं।,I watch books in the city.
en,pa,I watch books in the city.,ਮੈਂ ਸ਼ਹਿਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਦੇਖਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਸ਼ਹਿਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਦੇਖਦਾ ਹਾਂ।,I watch books in the city.
hi,pa,मैं शहर में किताबें देखता हूं।,ਮੈਂ ਸ਼ਹਿਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਦੇਖਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਸ਼ਹਿਰ ਵਿੱਚ ਕਿਤਾਬਾਂ ਦੇਖਦਾ ਹਾਂ।,मैं शहर में किताबें देखता हूं।
en,hi,She visit tea in the village.,वह गांव में चाय देखने जाती है।
hi,en,वह गांव में चाय देखने जाती है।,She visit tea in the village.
en,pa,She visit tea in the village.,ਉਹ ਪਿੰਡ ਵਿੱਚ ਚਾਹ ਪੀਂਦੀ ਹੈ।
pa,en,ਉਹ ਪਿੰਡ ਵਿੱਚ ਚਾਹ ਪੀਂਦੀ ਹੈ।,She visit tea in the village.
hi,pa,वह गांव में चाय देखने जाती है।,ਉਹ ਪਿੰਡ ਵਿੱਚ ਚਾਹ ਪੀਂਦੀ ਹੈ।
pa,hi,ਉਹ ਪਿੰਡ ਵਿੱਚ ਚਾਹ ਪੀਂਦੀ ਹੈ।,वह गांव में चाय देखने जाती है।
en,hi,She like books in the home.,उसे घर में किताबें पसंद हैं।
hi,en,उसे घर में किताबें पसंद हैं।,She like books in the home.
en,pa,She like books in the home.,ਉਸ ਨੂੰ ਘਰ ਦੀਆਂ ਕਿਤਾਬਾਂ ਪਸੰਦ ਹਨ।
pa,en,ਉਸ ਨੂੰ ਘਰ ਦੀਆਂ ਕਿਤਾਬਾਂ ਪਸੰਦ ਹਨ।,She like books in the home.
hi,pa,उसे घर में किताबें पसंद हैं।,ਉਸ ਨੂੰ ਘਰ ਦੀਆਂ ਕਿਤਾਬਾਂ ਪਸੰਦ ਹਨ।
pa,hi,ਉਸ ਨੂੰ ਘਰ ਦੀਆਂ ਕਿਤਾਬਾਂ ਪਸੰਦ ਹਨ।,उसे घर में किताबें पसंद हैं।
en,hi,We know tea in the school.,हम स्कूल में चाय जानते हैं.
hi,en,हम स्कूल में चाय जानते हैं.,We know tea in the school.
en,pa,We know tea in the school.,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਚਾਹ ਜਾਣਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਚਾਹ ਜਾਣਦੇ ਹਾਂ।,We know tea in the school.
hi,pa,हम स्कूल में चाय जानते हैं.,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਚਾਹ ਜਾਣਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਸਕੂਲ ਵਿੱਚ ਚਾਹ ਜਾਣਦੇ ਹਾਂ।,हम स्कूल में चाय जानते हैं.
en,hi,They buy cars in the village.,वे गाँव में गाड़ियाँ खरीदते हैं।
hi,en,वे गाँव में गाड़ियाँ खरीदते हैं।,They buy cars in the village.
en,pa,They buy cars in the village.,ਉਹ ਪਿੰਡ ਵਿੱਚ ਕਾਰਾਂ ਖਰੀਦਦੇ ਹਨ।
pa,en,ਉਹ ਪਿੰਡ ਵਿੱਚ ਕਾਰਾਂ ਖਰੀਦਦੇ ਹਨ।,They buy cars in the village.
hi,pa,वे गाँव में गाड़ियाँ खरीदते हैं।,ਉਹ ਪਿੰਡ ਵਿੱਚ ਕਾਰਾਂ ਖਰੀਦਦੇ ਹਨ।
pa,hi,ਉਹ ਪਿੰਡ ਵਿੱਚ ਕਾਰਾਂ ਖਰੀਦਦੇ ਹਨ।,वे गाँव में गाड़ियाँ खरीदते हैं।
en,hi,You watch music in the school.,आप स्कूल में संगीत देखते हैं.
hi,en,आप स्कूल में संगीत देखते हैं.,You watch music in the school.
en,pa,You watch music in the school.,ਤੁਸੀਂ ਸਕੂਲ ਵਿੱਚ ਸੰਗੀਤ ਦੇਖਦੇ ਹੋ।
pa,en,ਤੁਸੀਂ ਸਕੂਲ ਵਿੱਚ ਸੰਗੀਤ ਦੇਖਦੇ ਹੋ।,You watch music in the school.
hi,pa,आप स्कूल में संगीत देखते हैं.,ਤੁਸੀਂ ਸਕੂਲ ਵਿੱਚ ਸੰਗੀਤ ਦੇਖਦੇ ਹੋ।
pa,hi,ਤੁਸੀਂ ਸਕੂਲ ਵਿੱਚ ਸੰਗੀਤ ਦੇਖਦੇ ਹੋ।,आप स्कूल में संगीत देखते हैं.
en,hi,He visit movies in the home.,वह घर में फिल्में देखने जाते हैं।
hi,en,वह घर में फिल्में देखने जाते हैं।,He visit movies in the home.
en,pa,He visit movies in the home.,ਉਹ ਘਰ ਵਿੱਚ ਫਿਲਮਾਂ ਦੇਖਣ ਜਾਂਦਾ ਹੈ।
pa,en,ਉਹ ਘਰ ਵਿੱਚ ਫਿਲਮਾਂ ਦੇਖਣ ਜਾਂਦਾ ਹੈ।,He visit movies in the home.
hi,pa,वह घर में फिल्में देखने जाते हैं।,ਉਹ ਘਰ ਵਿੱਚ ਫਿਲਮਾਂ ਦੇਖਣ ਜਾਂਦਾ ਹੈ।
pa,hi,ਉਹ ਘਰ ਵਿੱਚ ਫਿਲਮਾਂ ਦੇਖਣ ਜਾਂਦਾ ਹੈ।,वह घर में फिल्में देखने जाते हैं।
en,hi,She prefer food in the city.,वह शहर का खाना पसंद करती है।
hi,en,वह शहर का खाना पसंद करती है।,She prefer food in the city.
en,pa,She prefer food in the city.,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਕਰਦੀ ਹੈ।
pa,en,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਕਰਦੀ ਹੈ।,She prefer food in the city.
hi,pa,वह शहर का खाना पसंद करती है।,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਕਰਦੀ ਹੈ।
pa,hi,ਉਹ ਸ਼ਹਿਰ ਵਿੱਚ ਖਾਣਾ ਪਸੰਦ ਕਰਦੀ ਹੈ।,वह शहर का खाना पसंद करती है।
en,hi,I buy tea in the market.,मैं बाज़ार से चाय खरीदता हूँ।
hi,en,मैं बाज़ार से चाय खरीदता हूँ।,I buy tea in the market.
en,pa,I buy tea in the market.,ਮੈਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਚਾਹ ਖਰੀਦਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਚਾਹ ਖਰੀਦਦਾ ਹਾਂ।,I buy tea in the market.
hi,pa,मैं बाज़ार से चाय खरीदता हूँ।,ਮੈਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਚਾਹ ਖਰੀਦਦਾ ਹਾਂ।
pa,hi,ਮੈਂ ਬਾਜ਼ਾਰ ਵਿੱਚ ਚਾਹ ਖਰੀਦਦਾ ਹਾਂ।,मैं बाज़ार से चाय खरीदता हूँ।
en,hi,We watch tea in the office.,हम ऑफिस में चाय देखते हैं।
hi,en,हम ऑफिस में चाय देखते हैं।,We watch tea in the office.
en,pa,We watch tea in the office.,ਅਸੀਂ ਦਫਤਰ ਵਿਚ ਚਾਹ ਪੀਂਦੇ ਹਾਂ।
pa,en,ਅਸੀਂ ਦਫਤਰ ਵਿਚ ਚਾਹ ਪੀਂਦੇ ਹਾਂ।,We watch tea in the office.
hi,pa,हम ऑफिस में चाय देखते हैं।,ਅਸੀਂ ਦਫਤਰ ਵਿਚ ਚਾਹ ਪੀਂਦੇ ਹਾਂ।
pa,hi,ਅਸੀਂ ਦਫਤਰ ਵਿਚ ਚਾਹ ਪੀਂਦੇ ਹਾਂ।,हम ऑफिस में चाय देखते हैं।
en,hi,She prefer football in the office.,वह ऑफिस में फुटबॉल पसंद करती हैं।
hi,en,वह ऑफिस में फुटबॉल पसंद करती हैं।,She prefer football in the office.
en,pa,She prefer football in the office.,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੀ ਹੈ।
pa,en,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੀ ਹੈ।,She prefer football in the office.
hi,pa,वह ऑफिस में फुटबॉल पसंद करती हैं।,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੀ ਹੈ।
pa,hi,ਉਹ ਦਫ਼ਤਰ ਵਿੱਚ ਫੁੱਟਬਾਲ ਨੂੰ ਤਰਜੀਹ ਦਿੰਦੀ ਹੈ।,वह ऑफिस में फुटबॉल पसंद करती हैं।
en,hi,I want cars in the restaurant.,मुझे रेस्तरां में कारें चाहिए।
hi,en,मुझे रेस्तरां में कारें चाहिए।,I want cars in the restaurant.
en,pa,I want cars in the restaurant.,ਮੈਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।
pa,en,ਮੈਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।,I want cars in the restaurant.
hi,pa,मुझे रेस्तरां में कारें चाहिए।,ਮੈਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।
pa,hi,ਮੈਨੂੰ ਰੈਸਟੋਰੈਂਟ ਵਿੱਚ ਕਾਰਾਂ ਚਾਹੀਦੀਆਂ ਹਨ।,मुझे रेस्तरां में कारें चाहिए।
en,hi,I see cricket in the park.,मैं पार्क में क्रिकेट देखता हूं।
hi,en,मैं पार्क में क्रिकेट देखता हूं।,I see cricket in the park.
en,pa,I see cricket in the park.,ਮੈਂ ਪਾਰਕ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦੇਖਦਾ ਹਾਂ।
pa,en,ਮੈਂ ਪਾਰਕ ਵਿੱਚ ਕ੍ਰਿਕਟ ਦੇਖਦਾ ਹਾਂ।,I see cricket in the park.
